date,open,high,low,close,volume
21.11.2024 11:30:00.000,1.05293,1.05301,1.05198,1.05214,2220.02
21.11.2024 11:45:00.000,1.05213,1.05233,1.05174,1.05203,2433.01
21.11.2024 12:00:00.000,1.05202,1.05238,1.05191,1.05220,2447.26
21.11.2024 12:15:00.000,1.05220,1.05230,1.05177,1.05187,2648
21.11.2024 12:30:00.000,1.05189,1.05280,1.05187,1.05277,2901.98
21.11.2024 12:45:00.000,1.05277,1.05359,1.05252,1.05277,4332.870000000001
21.11.2024 13:00:00.000,1.05276,1.05288,1.05233,1.05283,3431.8299999999995
21.11.2024 13:15:00.000,1.05284,1.05298,1.05201,1.05214,3640.87
21.11.2024 13:30:00.000,1.05215,1.05394,1.05160,1.05341,7412.089999999999
21.11.2024 13:45:00.000,1.05342,1.05385,1.05284,1.05331,7064.05
21.11.2024 14:00:00.000,1.05332,1.05351,1.05222,1.05247,6603.509999999999
21.11.2024 14:15:00.000,1.05247,1.05296,1.05214,1.05265,5805
21.11.2024 14:30:00.000,1.05265,1.05312,1.05212,1.05311,7165.039999999999
21.11.2024 14:45:00.000,1.05310,1.05357,1.05254,1.05356,6125.17
21.11.2024 15:00:00.000,1.05355,1.05448,1.05333,1.05353,7980.869999999999
21.11.2024 15:15:00.000,1.05353,1.05399,1.05328,1.05329,4535.62
21.11.2024 15:30:00.000,1.05329,1.05352,1.05278,1.05308,5097.050000000001
21.11.2024 15:45:00.000,1.05308,1.05308,1.05091,1.05104,7523.160000000001
21.11.2024 16:00:00.000,1.05105,1.05149,1.04982,1.05039,8654.73
21.11.2024 16:15:00.000,1.05038,1.05038,1.04744,1.04890,15161.180000000002
21.11.2024 16:30:00.000,1.04891,1.04930,1.04798,1.04798,11096.460000000001
21.11.2024 16:45:00.000,1.04797,1.04815,1.04716,1.04744,6548.6
21.11.2024 17:00:00.000,1.04744,1.04755,1.04623,1.04690,7678.120000000001
21.11.2024 17:15:00.000,1.04689,1.04789,1.04647,1.04770,4507.780000000001
21.11.2024 17:30:00.000,1.04769,1.04854,1.04756,1.04828,4529.17
21.11.2024 17:45:00.000,1.04830,1.04880,1.04815,1.04876,2990.9200000000005
21.11.2024 18:00:00.000,1.04875,1.04884,1.04783,1.04871,3195.6900000000005
21.11.2024 18:15:00.000,1.04871,1.04889,1.04828,1.04829,1889.8200000000004
21.11.2024 18:30:00.000,1.04828,1.04874,1.04822,1.04857,3178.73
21.11.2024 18:45:00.000,1.04858,1.04895,1.04837,1.04863,1587.2499999999998
21.11.2024 19:00:00.000,1.04863,1.04874,1.04772,1.04793,1705.7399999999998
21.11.2024 19:15:00.000,1.04794,1.04810,1.04735,1.04770,2416.9
21.11.2024 19:30:00.000,1.04770,1.04835,1.04757,1.04833,2225.34
21.11.2024 19:45:00.000,1.04833,1.04856,1.04805,1.04846,2694.4
21.11.2024 20:00:00.000,1.04845,1.04870,1.04821,1.04824,1452.09
21.11.2024 20:15:00.000,1.04823,1.04826,1.04783,1.04804,1240.8700000000001
21.11.2024 20:30:00.000,1.04803,1.04815,1.04781,1.04793,2015.9199999999998
21.11.2024 20:45:00.000,1.04794,1.04829,1.04782,1.04793,1527.4900000000002
21.11.2024 21:00:00.000,1.04792,1.04809,1.04764,1.04768,1288.9299999999998
21.11.2024 21:15:00.000,1.04768,1.04777,1.04738,1.04741,421.62000000000006
21.11.2024 21:30:00.000,1.04738,1.04744,1.04720,1.04730,1021.0100000000001
21.11.2024 21:45:00.000,1.04728,1.04747,1.04723,1.04747,1529.0400000000002
21.11.2024 22:00:00.000,1.04749,1.04753,1.04737,1.04748,213.48000000000002
21.11.2024 22:15:00.000,1.04746,1.04799,1.04743,1.04770,220.76999999999992
